# motif_id,sequence_name
filter1,67
filter6,3665
filter8,4836
filter9,50
filter10,25
filter11,548
filter14,534
filter15,29
filter23,1399
filter28,178
filter34,6
filter35,28
filter40,35
filter43,355
filter44,671
filter47,148
filter50,42
filter51,386
filter65,111
filter66,162
filter67,1541
filter68,10
filter69,114
filter70,163
filter78,5747
filter80,124
filter85,78
filter89,6351
filter93,5830
filter94,13209
filter97,1002
filter102,196
filter105,2052
filter106,3718
filter112,1405
filter115,278
filter120,70
filter122,2383
filter123,13181
filter124,154
filter127,70
filter129,409
filter132,131
filter133,12907
filter135,1210
filter151,931
filter154,867
filter155,206
filter157,504
filter165,8568
filter166,70
filter167,2010
filter170,67
filter173,142
filter174,9
filter178,917
filter183,62
filter185,251
filter186,30
filter190,4925
filter194,57
filter195,3
filter196,291
filter198,852
filter202,289
filter205,12320
filter209,108
filter214,146
filter217,1903
filter218,5128
filter219,62
filter220,46
filter223,72
filter224,5025
filter227,27
filter230,7600
filter231,2870
filter238,54
filter242,700
filter244,667
filter247,994
filter250,2318
filter252,286
filter255,12020
filter257,1151
filter260,22921
filter264,381
filter270,63
filter275,2419
filter276,8379
filter279,956
filter281,308
filter283,60
filter284,290
filter286,7304
filter288,243
filter290,209
filter292,38
filter297,131
